Date,Open,High,Low,Close,Volume,Market Cap
27-11-2019,7220.88,7619.69,6974.17,7531.66,23991412764,"136,102,712,894"
26-11-2019,7145.16,7320.23,7098.57,7218.37,21129505542,"130,429,018,720"
25-11-2019,7039.98,7319.86,6617.17,7146.13,42685231262,"129,112,952,930"
24-11-2019,7398.63,7408.58,7029.29,7047.92,30433517289,"127,327,398,565"
23-11-2019,7296.16,7442.26,7151.42,7397.80,21008924418,"133,636,205,957"
22-11-2019,7643.57,7697.38,6936.71,7296.58,34242315785,"131,791,783,672"
21-11-2019,8023.64,8110.10,7597.38,7642.75,22514243371,"138,031,885,379"
20-11-2019,8203.61,8237.24,8010.51,8027.27,20764300437,"144,962,727,398"
19-11-2019,8305.13,8408.52,8099.96,8206.15,21083613816,"148,178,376,843"
18-11-2019,8573.98,8653.28,8273.57,8309.29,21579470673,"150,025,712,267"
17-11-2019,8549.47,8727.79,8500.97,8577.98,18668638897,"154,861,842,425"
16-11-2019,8491.17,8592.00,8473.97,8550.76,16495389808,"154,354,054,194"
15-11-2019,8705.71,8730.87,8484.84,8491.99,21796856471,"153,277,483,626"
14-11-2019,8811.94,8826.94,8692.55,8708.10,19084739975,"157,160,974,644"
13-11-2019,8812.03,8836.84,8761.65,8808.26,17545755405,"158,949,942,842"
11-12-2019,8759.75,8853.77,8685.43,8815.66,20309769107,"159,068,712,900"
11-11-2019,9056.92,9081.28,8700.61,8757.79,20265510765,"158,009,772,437"
11-10-2019,8812.49,9103.83,8806.16,9055.53,20587919881,"163,364,406,732"
11-09-2019,8809.47,8891.82,8793.16,8813.58,17578630606,"158,981,489,715"
11-08-2019,9265.37,9272.76,8775.53,8804.88,24333037836,"158,808,570,729"
11-07-2019,9352.39,9368.48,9202.35,9267.56,22700383839,"167,138,722,904"
11-06-2019,9340.86,9423.24,9305.91,9360.88,23133895765,"168,806,151,583"
11-05-2019,9413.00,9457.42,9256.93,9342.53,26198609048,"168,459,778,835"
11-04-2019,9235.61,9505.05,9191.49,9412.61,26170255634,"169,706,332,936"
11-03-2019,9324.79,9379.81,9141.25,9235.35,21132220847,"166,495,319,475"
11-02-2019,9259.78,9377.49,9249.59,9324.72,21242676385,"168,090,392,935"
11-01-2019,9193.99,9275.66,9132.05,9261.10,24324691031,"166,928,044,164"
31-10-2019,9202.46,9383.16,9028.72,9199.58,26583653947,"165,804,227,835"
30-10-2019,9422.46,9426.87,9085.37,9205.73,27706531577,"165,899,500,650"
29-10-2019,9248.44,9516.18,9232.65,9427.69,28426779937,"169,883,866,262"
28-10-2019,9565.10,9805.12,9256.15,9256.15,30948255332,"166,777,392,742"
27-10-2019,9241.71,9749.53,9112.54,9551.71,32593129501,"172,087,039,875"
26-10-2019,8667.58,10021.74,8662.62,9244.97,44496255609,"166,547,360,782"
25-10-2019,7490.70,8691.54,7479.98,8660.70,28705065488,"156,006,603,607"
24-10-2019,7509.73,7532.87,7446.99,7493.49,16268708849,"134,968,410,276"
23-10-2019,8076.23,8093.00,7469.32,7514.67,21942878958,"135,337,364,282"
22-10-2019,8243.40,8296.65,8074.46,8078.20,16803377857,"145,469,660,005"
21-10-2019,8225.12,8296.69,8196.42,8243.72,15868748866,"148,432,733,155"
20-10-2019,7997.81,8281.82,7949.44,8222.08,15504249442,"148,026,597,064"
19-10-2019,7973.80,8082.63,7944.78,7988.56,13797825640,"143,808,163,807"
18-10-2019,8100.93,8138.41,7902.16,7973.21,15651592610,"143,517,630,376"
17-10-2019,8047.81,8134.83,8000.94,8103.91,14313052244,"145,853,994,298"
16-10-2019,8204.67,8216.81,7985.09,8047.53,16071646996,"144,823,993,562"
15-10-2019,8373.46,8410.71,8182.71,8205.37,15220412632,"147,650,082,215"
14-10-2019,8320.83,8390.21,8284.13,8374.69,15151387859,"150,680,499,056"
13-10-2019,8336.90,8470.99,8276.61,8321.01,13808286059,"149,700,817,939"
10-12-2019,8315.66,8415.24,8313.34,8336.56,14532641605,"149,965,767,624"
10-11-2019,8585.26,8721.78,8316.18,8321.76,19604381101,"149,685,618,275"
10-10-2019,8585.28,8625.27,8471.93,8586.47,17618660671,"154,430,515,160"
10-09-2019,8229.84,8627.71,8169.30,8595.74,19384942333,"154,579,656,110"
10-08-2019,8246.85,8332.72,8185.76,8228.78,15592264032,"147,966,069,982"
10-07-2019,7989.12,8308.45,7905.77,8245.62,18009742607,"148,252,589,805"
10-06-2019,8149.88,8161.41,7958.85,7988.16,13160830305,"143,607,672,862"
10-05-2019,8210.15,8215.53,8071.12,8151.50,12200497197,"146,529,229,668"
10-04-2019,8259.49,8260.06,8151.24,8205.94,13139456229,"147,491,804,056"
10-03-2019,8390.77,8414.23,8146.44,8259.99,13668823409,"148,448,162,840"
10-02-2019,8344.21,8393.04,8227.70,8393.04,13125712443,"150,823,797,662"
10-01-2019,8299.72,8497.69,8232.68,8343.28,15305343413,"149,913,972,768"
30-09-2019,8104.23,8314.23,7830.76,8293.87,17115474183,"149,011,567,415"
29-09-2019,8246.04,8261.71,7990.50,8104.19,13034629109,"145,590,374,681"
28-09-2019,8251.27,8285.62,8125.43,8245.92,14141152736,"148,122,503,616"
27-09-2019,8113.10,8271.52,7965.92,8251.85,16408941156,"148,212,635,834"
26-09-2019,8487.67,8515.69,7895.63,8118.97,19258205289,"145,812,492,488"
25-09-2019,8603.43,8744.83,8325.40,8486.99,21744728353,"152,404,005,091"
24-09-2019,9729.32,9804.32,8370.80,8620.57,25002886689,"154,785,821,876"
23-09-2019,10067.96,10074.24,9727.14,9729.32,15144925408,"174,674,558,023"
22-09-2019,10024.12,10074.44,9922.53,10070.39,13199651698,"180,784,051,699"
21-09-2019,10183.65,10188.10,10000.71,10019.72,13425266806,"179,853,287,294"
20-09-2019,10266.32,10285.87,10132.19,10181.64,14734189639,"182,738,947,696"
19-09-2019,10200.50,10295.67,9851.69,10266.41,19937691247,"184,240,949,577"
18-09-2019,10247.80,10275.93,10191.47,10198.25,16169268880,"182,998,899,156"
17-09-2019,10281.51,10296.77,10199.74,10241.27,15304603363,"183,748,515,828"
16-09-2019,10347.22,10386.87,10189.74,10276.79,15160167779,"184,366,827,555"
15-09-2019,10356.47,10387.03,10313.09,10347.71,12043433567,"185,618,174,384"
14-09-2019,10345.40,10422.13,10291.69,10358.05,13468713124,"185,784,300,332"
13-09-2019,10415.36,10441.49,10226.60,10360.55,14109864675,"185,809,163,035"
09-12-2019,10176.82,10442.25,10099.24,10410.13,15323563925,"186,678,943,059"
09-11-2019,10123.03,10215.95,9980.78,10178.37,15428063426,"182,502,788,242"
09-10-2019,10336.41,10394.35,10020.57,10115.98,14906809639,"181,360,731,383"
09-09-2019,10443.23,10450.31,10144.93,10334.97,17595943368,"185,263,578,990"
09-08-2019,10518.11,10595.64,10409.09,10441.28,13670567493,"187,150,078,007"
09-07-2019,10353.93,10558.67,10348.92,10517.25,15307366476,"188,488,525,926"
09-06-2019,10578.20,10898.76,10292.30,10353.30,19536574783,"185,530,405,363"
09-05-2019,10588.18,10627.27,10516.42,10575.53,14551239508,"189,492,405,383"
09-04-2019,10621.18,10762.64,10434.71,10594.49,16742664769,"189,810,010,608"
